MARCA,MODEL,VALOARE_DAUNA,PRET_MANOPERA,PROCENT_MANOPERA
FORD,TAURUS,338.34,148.23,43.81095938996276
FORD,TAURUS,382.52,285.45,74.62354909547213
AUDI,A6,377.13,198.72,52.692705433139764
AUDI,A6,417.34,245.8,58.89682273446112
AUDI,A4,304.95,149.93,49.16543695687818
FORD,MUSTANG,410.16,228.21,55.63926272674078
FORD,MUSTANG,428.96,325.29,75.83224543080941
AUDI,A8,490.07,293.22,59.83226885955069
AUDI,A6,357.72,218.56,61.0980655261098
AUDI,A6,371.5,146.27,39.372812920592196
AUDI,A4,474.41,271.6,57.250057966737636
AUDI,A4,501.29,287.97,57.445789862155635
AUDI,A4,440.52,236.74,53.74103332425316
FORD,TAURUS,476.84,304.23,63.801275060817055
FORD,TAURUS,390.41,206.39,52.864936861248424
AUDI,A6,470.66,254.16,54.00076488335529
AUDI,A6,264.79,118.67,44.81664715434873
FORD,EXPLORER,457.45,341.06,74.55678216198491
FORD,EXPLORER,470.15,238.55,50.73912581091141
AUDI,A4,292.95,185.56,63.341867212834956
AUDI,A4,410.43,185.25,45.13558950369125
AUDI,A4,356.58,181.59,50.92545852263167
AUDI,A6,519.13,288.61,55.594937684202414
FORD,MUSTANG,294.72,173.12,58.74049945711183
FORD,MUSTANG,359.46,128.04,35.620096811884494
FORD,TAURUS,470.36,254.98,54.209541627689426
FORD,TAURUS,326.1,138.21,42.38270469181233
FORD,FOCUS,379.99,201.85,53.11981894260375
AUDI,A6,331.57,221.5,66.80338993274421
AUDI,A6,397.43,272.4,68.54037188938932
FORD,MUSTANG,386.56,166.56,43.087748344370866
FORD,MUSTANG,304.59,215.5,70.75084539873274
FORD,TAURUS,483.53,257.64,53.283146857485576
FORD,TAURUS,228.54,127.71,55.880808611184044
AUDI,A8,392.18,288.21,73.48921413636594
AUDI,A8,418.82,301.76,72.05004536555083
FORD,EXPLORER,443.83,344.1,77.52968478922111
FORD,EXPLORER,421.06,329.23,78.19075666175841
BMW,325,491.65,294.92,59.985762229228115
BMW,325,527.66,337.12,63.889625895462984
FORD,FOCUS,377.07,214.25,56.81968865197443
FORD,FOCUS,539.36,316.65,58.70846929694452
BMW,325,476.7,283.21,59.41053073211663
FORD,EXPLORER,347.08,125.12,36.04932580384926
FORD,FOCUS,446.25,203.97,45.707563025210085
AUDI,A4,510.6,346.95,67.94947121034077
AUDI,A4,388.01,172.24,44.39060848947192
FORD,EXPLORER,395.21,258.13,65.31464284810608
FORD,EXPLORER,488.04,323.06,66.19539382017867
FORD,TAURUS,532.9,350.51,65.77406642897354
FORD,TAURUS,299.91,170.11,56.72034943816479
AUDI,A8,409.39,313.35,76.54070690539584
BMW,325,265.85,131.13,49.32480722211773
FORD,WINDSTAR,373.45,201.19,53.87334315169367
FORD,MUSTANG,376.33,193.38,51.385751866712724
FORD,MUSTANG,406.9,178.33,43.82649299582207
AUDI,A4,420.15,227.84,54.22825181482804
AUDI,A4,399.38,191.03,47.8316390405128
FORD,MUSTANG,358.41,167.26,46.66722468681119
BMW,325,226.16,126.63,55.99133356915458
